0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,288819,227602,172348,29386,3593,28567,62904,89451,74638,85663,116956,133574,1313501,262438,240259,219655,49651,3383,37969,79593,94111,84260,97835,126622,199431,1495207,24676,23756,24593,7265,23,4777,9818,11448,8869,9531,12681,16642,154079
Soekarno Hatta-Jakarta,1600594,1551967,1211697,191002,27500,174352,427731,574597,500591,601391,828893,931481,8621796,1732689,1592390,1118256,165377,33688,182419,415799,584943,480555,577226,821804,911015,8616161,40206,44266,23845,5128,680,5640,3239,2785,9770,7502,5276,104083,252420
Juanda-Surabaya,553747,481881,408725,97748,5397,64137,121240,186467,162402,182889,238036,244579,2747248,595683,543606,458981,120498,9261,80239,175638,203679,180097,223074,277101,314422,3182279,68844,65249,64552,17683,246,10987,30843,35707,28941,32381,43002,42781,441216
Hasanudin-Makassar,308503,273885,230917,49046,6663,40508,79957,134043,129773,156486,193428,194363,1797572,408051,398169,353110,75368,5929,80713,163658,236057,230064,264948,334355,359709,2910131,170672,172643,144716,35023,2084,40275,83239,118438,108788,121914,160330,161346,1319468
Ngurah Rai-Bali,453130,346962,253517,44122,2423,11396,41375,83260,80930,99469,169655,161346,1747585,390425,346328,228835,29193,2673,6446,35802,86225,88588,121696,170247,228945,1735403,29900,31342,31038,8310,3,602,68,2632,7570,9798,11009,13657,145929
Bandara Lainnya,3089453,2903333,2302771,426796,41432,299419,724644,918082,946266,1097102,1419232,1996057,16164587,3157670,2768351,2439415,512498,31218,297824,701006,978666,1013436,1203921,1484771,1989278,16578054,173153,152302,145546,38936,1164,32839,76346,89957,81613,87344,101303,166576,1147079
TOTAL,6294246,5785630,4579975,838100,87008,618379,1457851,1985900,1894600,2223000,2966200,3661400,32392289,6546956,5889103,4818252,952585,86152,685610,1571496,2183681,2077000,2488700,3214900,4002800,34517235,507451,489558,434290,112345,4200,95120,203553,260967,245551,268470,333601,505085,3460191
Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,157614,100191,122498,119306,104644,150762,51362,49711,80935,116465,143606,161457,1358551,124317,106106,134687,141026,125864,165517,58880,59271,85734,126287,159706,228391,1515786,15666,9817,14384,15326,17121,22559,6753,10177,10825,12212,17676,18605,171121
Soekarno Hatta-Jakarta,507262,482132,672107,703135,598615,858770,249940,321287,560577,824287,974987,1192278,7945377,673120,524397,701825,772335,650944,941540,264882,357782,618478,874977,1052519,1197061,8629860,83860,53627,61607,77630,99605,95657,31549,46187,75127,94344,122234,125531,966958
Juanda-Surabaya,189560,152366,198457,219430,210700,346782,74127,97491,166499,231536,278750,305669,2471367,194771,170249,251562,315713,265293,350456,79174,94541,194122,286334,342937,351369,2896521,28645,18637,36137,36919,31458,67254,14088,14751,34406,54536,68151,58606,463588
Hasanudin-Makassar,163992,128429,166182,175885,142954,210516,73783,66276,112102,159016,182441,182396,1763972,250579,215024,287543,304400,261010,381216,126896,132268,227611,321096,361144,365425,3234212,128245,109058,137127,148947,120748,182748,58904,74964,134208,184009,197323,182257,1658538
Ngurah Rai-Bali,118965,71105,116888,142344,121441,225671,49999,47409,113912,224887,274179,318264,1825064,83380,77693,134561,151024,139942,229924,32135,42446,120066,236847,279160,353906,1881084,9762,8225,12624,13683,8617,7321,624,108,961,2656,2289,147,67017
Bandara Lainnya,1199007,971177,1366368,1430800,1258746,1725399,496189,485526,930975,1360809,1641037,1836236,14702269,1243133,1032131,1427922,1464502,1252647,1820847,553133,531592,964289,1420059,1823334,1873948,15407537,83616,87211,101336,118487,97335,122508,54631,48377,83092,94885,152170,116923,1160571
TOTAL,2336400,1905400,2642500,2790900,2437100,3517900,995400,1067700,1965000,2917000,3495000,3996300,30066600,2569300,2125600,2938100,3149000,2695700,3889500,1115100,1217900,2210300,3265600,4018800,4370100,33565000,349794,286575,363215,410992,374884,498047,166549,194564,338619,442642,559843,502069,4487793
Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,225304,137536,177348,166129,245423,217171,230623,193350,179483,189447,188598,198739,2349151,194485,142432,194290,196820,224658,243783,233543,196022,187938,200496,203033,268705,2486205,18835,13858,20300,11569,14919,20676,20300,15671,12615,13612,16463,17487,196305
Soekarno Hatta-Jakarta,1069185,808614,1195183,1206248,1561849,1527629,1566606,1367804,1310419,1405625,1418906,1627832,16065900,1241322,911234,1301181,1175936,1727989,1558715,1597001,1425516,1324100,1401693,1401797,1520795,16587279,131993,93569,118199,96754,117074,64797,80537,54827,12565,12763,12683,23891,819652
Juanda-Surabaya,301152,220164,319093,285101,501021,404070,447785,346118,339071,367656,371289,413988,4316508,357877,267975,385013,392176,479579,451275,472767,390643,384402,416598,413092,463268,4874665,57684,44512,57028,33198,46362,65942,65584,57435,49916,58140,57352,63590,656743
Hasanudin-Makassar,211736,156830,219928,179676,275356,229651,246482,201465,193865,210265,211856,216028,2553138,359032,286631,406941,364710,458467,428603,434486,366130,344336,390243,397893,436667,4674139,178639,146100,204046,181140,207893,206138,211078,192633,172567,199010,208470,218347,2326061
Ngurah Rai-Bali,317662,191034,290652,224687,395423,362418,408296,341349,299634,341780,317266,388008,3878209,280455,193436,283801,244839,376693,383114,386949,356501,327148,352200,339073,454652,3978861,99,6,131,912,227,71,990,17500,16415,18718,17702,17194,89965
