Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,229697,173320,153982,232023,169674,189117,211247,185670,-,-,-,-,-,207422,161330,193505,202005,171133,193065,205466,180105,-,-,-,-,-,9198,5891,5750,7968,5937,5359,6782,5210,-,-,-,-,-
Soekarno Hatta-Jakarta,1339122,1237616,1195980,1347295,1219107,1328861,1481768,1402873,-,-,-,-,-,1552053,1386144,1226178,1651980,1380748,1512252,1632745,1624834,-,-,-,-,-,207201,172567,183990,213525,158083,177936,198651,195702,-,-,-,-,-
Juanda-Surabaya,423408,359514,331006,547950,434340,437774,476281,410380,-,-,-,-,-,457319,414176,456424,480230,411716,488724,486863,460900,-,-,-,-,-,43647,39931,15659,28873,41367,42261,46202,40659,-,-,-,-,-
Hasanudin-Makassar,256929,214575,191241,284832,207855,246555,274521,245166,-,-,-,-,-,365138,324534,335526,392513,333281,386636,413325,382487,-,-,-,-,-,134086,121919,119588,138850,123488,142373,159021,144213,-,-,-,-,-
Ngurah Rai-Bali,404470,294415,236908,366090,345626,370446,433518,426815,-,-,-,-,-,366536,299218,265037,374084,366464,394972,440729,421565,-,-,-,-,-,13473,14728,17952,22287,15786,16056,17220,15133,-,-,-,-,-
Bandara Lainnya,2457146,2138912,2170951,2668465,2162887,2431856,2588430,2430661,-,-,-,-,-,2528357,2145494,2147026,2789487,2219693,2436247,2728222,2457694,-,-,-,-,-,96127,82443,81620,113494,90174,105543,128659,96900,-,-,-,-,-
TOTAL,5110772,4418352,4280068,5446655,4539489,5004609,5465765,5101565,-,-,-,-,-,5476825,4730896,4623696,5890299,4883035,5411896,5907350,5527585,-,-,-,-,-,503732,437479,424559,524997,434835,489528,556535,497817,-,-,-,-,-
